,Time Length,Window Accuracy,Window Size
386,1000.0,52.55760000000004,386
387,1000.0,52.38040000000001,387
388,1000.0,52.77669999999996,388
389,1000.0,52.284899999999965,389
390,1000.0,52.36509999999998,390
391,1000.0,52.295000000000044,391
392,1000.0,52.518799999999935,392
393,1000.0,52.7882,393
394,1000.0,52.65550000000003,394
395,1000.0,52.88019999999993,395
396,1000.0,53.10079999999999,396
397,1000.0,52.54850000000001,397
398,1000.0,52.89790000000008,398
399,1000.0,52.38110000000009,399
400,1000.0,52.59850000000003,400
401,1000.0,52.782300000000006,401
402,1000.0,52.69349999999997,402
403,1000.0,52.43719999999993,403
404,1000.0,52.938299999999984,404
405,1000.0,52.48640000000004,405
406,1000.0,52.31419999999993,406
407,1000.0,52.7920000000001,407
408,1000.0,52.72789999999994,408
409,1000.0,53.02010000000001,409
410,1000.0,52.80619999999999,410
411,1000.0,52.90299999999998,411
412,1000.0,52.458300000000015,412
413,1000.0,52.72259999999995,413
414,1000.0,52.70179999999995,414
415,1000.0,52.60709999999996,415
416,1000.0,52.9734000000001,416
417,1000.0,52.5366,417
418,1000.0,53.02220000000001,418
419,1000.0,52.436399999999956,419
420,1000.0,52.827599999999975,420
421,1000.0,52.87260000000002,421
422,1000.0,53.10889999999999,422
423,1000.0,52.344099999999976,423
424,1000.0,52.63480000000006,424
425,1000.0,52.43770000000003,425
426,1000.0,52.508799999999965,426
427,1000.0,52.80560000000001,427
428,1000.0,52.54920000000002,428
429,1000.0,52.76849999999995,429
430,1000.0,52.96260000000007,430
431,1000.0,52.28950000000008,431
432,1000.0,52.47289999999999,432
433,1000.0,52.61899999999998,433
434,1000.0,53.13730000000001,434
435,1000.0,52.6477,435
436,1000.0,52.870100000000065,436
437,1000.0,52.74830000000008,437
438,1000.0,52.820399999999985,438
439,1000.0,52.97019999999999,439
440,1000.0,52.75699999999989,440
441,1000.0,52.961900000000014,441
442,1000.0,52.86000000000001,442
443,1000.0,52.6023999999999,443
444,1000.0,52.58120000000003,444
445,1000.0,53.13920000000002,445
446,1000.0,52.35310000000002,446
447,1000.0,52.65630000000001,447
448,1000.0,52.79260000000006,448
449,1000.0,53.200399999999995,449
450,1000.0,52.66129999999998,450
451,1000.0,52.7597,451
452,1000.0,52.48919999999995,452
453,1000.0,52.60900000000007,453
454,1000.0,52.4419,454
455,1000.0,52.79079999999997,455
456,1000.0,53.07379999999999,456
457,1000.0,52.74039999999998,457
458,1000.0,52.97920000000003,458
459,1000.0,52.71799999999997,459
460,1000.0,52.50339999999998,460
461,1000.0,52.416000000000025,461
462,1000.0,52.88189999999996,462
463,1000.0,52.74170000000002,463
464,1000.0,52.68540000000002,464
465,1000.0,52.88130000000004,465
466,1000.0,52.691200000000016,466
467,1000.0,52.701200000000014,467
468,1000.0,52.66820000000013,468
469,1000.0,52.5858000000001,469
470,1000.0,52.52769999999993,470
471,1000.0,52.35450000000001,471
472,1000.0,52.61630000000002,472
473,1000.0,53.134500000000074,473
474,1000.0,52.76310000000005,474
475,1000.0,52.97429999999998,475
476,1000.0,52.708400000000026,476
477,1000.0,53.107999999999976,477
478,1000.0,52.68180000000006,478
479,1000.0,52.746700000000004,479
480,1000.0,52.819100000000006,480
481,1000.0,52.82059999999998,481
482,1000.0,52.97740000000006,482
483,1000.0,52.58359999999996,483
484,1000.0,53.138400000000026,484
485,1000.0,52.35610000000002,485
486,1000.0,53.312599999999975,486
487,1000.0,53.08929999999994,487
488,1000.0,51.99289999999996,488
489,1000.0,52.91919999999997,489
490,1000.0,52.633499999999955,490
491,1000.0,52.919899999999956,491
492,1000.0,52.649,492
493,1000.0,53.00659999999992,493
494,1000.0,52.43810000000005,494
495,1000.0,53.0691,495
496,1000.0,52.78409999999996,496
497,1000.0,53.02400000000003,497
498,1000.0,52.68440000000001,498
499,1000.0,52.64950000000004,499
500,1000.0,52.623,500
501,1000.0,52.67460000000003,501
502,1000.0,52.752000000000024,502
503,1000.0,52.933900000000065,503
504,1000.0,52.870000000000026,504
505,1000.0,52.79490000000005,505
506,1000.0,52.61629999999999,506
507,1000.0,52.846500000000006,507
508,1000.0,52.89459999999994,508
509,1000.0,52.75519999999997,509
510,1000.0,52.62480000000001,510
511,1000.0,53.2379,511
512,1000.0,53.11610000000001,512
513,1000.0,52.915400000000076,513
514,1000.0,52.77600000000006,514
515,1000.0,53.02510000000005,515
516,1000.0,52.715100000000064,516
517,1000.0,52.66409999999999,517
518,1000.0,52.6398,518
519,1000.0,53.128600000000006,519
520,1000.0,53.04459999999995,520
521,1000.0,52.72909999999994,521
522,1000.0,53.060100000000055,522
523,1000.0,52.980400000000095,523
524,1000.0,52.846900000000055,524
525,1000.0,52.645700000000026,525
526,1000.0,53.23950000000004,526
527,1000.0,53.368800000000086,527
